-33	-1.68883e-08	1.5	-2.00042	2.00042	-4.9	2.00042	2.00042	-4.9	2.00042	-2.00042	-4.9	9.396e-05	-3.43349e-06	-1.28083e-07	1.37784e-07	-1.29053e-08	2.05312e-08	1.37784e-07	-1.29053e-08	2.05312e-08	2.57287e-07	-1.37499e-08	6.9743e-08	0.0127176	-0.000464672	-1.73214e-05	1.8639e-05	-1.74573e-06	2.77728e-06	1.8639e-05	-1.74573e-06	2.77728e-06	3.48049e-05	-1.85989e-06	9.43443e-06	
-33	-7.79445e-08	1.5	-2.00042	2.00042	-4.9	2.00042	2.00042	-4.9	2.00042	-2.00042	-4.9	0.000259986	-9.49888e-06	-3.54e-07	3.80965e-07	-3.56808e-08	5.67645e-08	3.80965e-07	-3.56808e-08	5.67645e-08	7.11384e-07	-3.80136e-08	1.92831e-07	0.0210741	-0.00076981	-2.86535e-05	3.08518e-05	-2.88939e-06	4.59667e-06	3.08518e-05	-2.88939e-06	4.59667e-06	5.76102e-05	-3.07807e-06	1.56157e-05	
-33	-2.20548e-07	1.5	-2.00042	2.00042	-4.9	2.00042	2.00042	-4.9	2.00042	-2.00042	-4.9	0.00051912	-1.89635e-05	-7.05998e-07	7.60096e-07	-7.11866e-08	1.13249e-07	7.60096e-07	-7.11866e-08	1.13249e-07	1.41934e-06	-7.58362e-08	3.84725e-07	0.0296603	-0.00108318	-4.02551e-05	4.3371e-05	-4.06158e-06	6.46139e-06	4.3371e-05	-4.06158e-06	6.46139e-06	8.09876e-05	-4.32641e-06	2.19516e-05	
-33	-4.71567e-07	1.5	-2.00042	2.00042	-4.9	2.00042	2.00042	-4.9	2.00042	-2.00042	-4.9	0.000859958	-3.14091e-05	-1.16815e-06	1.25819e-06	-1.1783e-07	1.87452e-07	1.25819e-06	-1.1783e-07	1.87452e-07	2.34944e-06	-1.25519e-07	6.36823e-07	0.0380247	-0.0013883	-5.15147e-05	5.55373e-05	-5.20058e-06	8.27324e-06	5.55373e-05	-5.20058e-06	8.27324e-06	0.000103706	-5.53916e-06	2.81084e-05	
-33	-8.6463e-07	1.5	-2.00042	2.00042	-4.9	2.00042	2.00042	-4.9	2.00042	-2.00042	-4.9	0.00128582	-4.69556e-05	-1.74456e-06	1.87981e-06	-1.76037e-07	2.80049e-07	1.87981e-06	-1.76037e-07	2.80049e-07	3.51022e-06	-1.87513e-07	9.51432e-07	0.046312	-0.00169044	-6.26282e-05	6.75618e-05	-6.32612e-06	1.00636e-05	6.75618e-05	-6.32612e-06	1.00636e-05	0.00012616	-6.73735e-06	3.41931e-05	
-33	-1.3999e-06	1.5	-2.00042	2.00042	-4.9	2.00042	2.00042	-4.9	2.00042	-2.00042	-4.9	0.00176973	-6.46165e-05	-2.39837e-06	2.58535e-06	-2.42098e-07	3.85138e-07	2.58535e-06	-2.42098e-07	3.85138e-07	4.82768e-06	-2.57864e-07	1.3085e-06	0.0541259	-0.00197517	-7.30671e-05	7.88716e-05	-7.38462e-06	1.17474e-05	7.88716e-05	-7.38462e-06	1.17474e-05	0.000147279	-7.86396e-06	3.99157e-05	
-32.9999	-2.14505e-06	1.5	-2.00042	2.00042	-4.9	2.00042	2.00042	-4.9	2.00042	-2.00042	-4.9	0.00234777	-8.57077e-05	-3.17797e-06	3.42715e-06	-3.20912e-07	5.10514e-07	3.42715e-06	-3.20912e-07	5.10514e-07	6.39961e-06	-3.4179e-07	1.73452e-06	0.0620968	-0.00226547	-8.36749e-05	9.03799e-05	-8.46155e-06	1.34603e-05	9.03799e-05	-8.46155e-06	1.34603e-05	0.000168769	-9.00996e-06	4.57384e-05	
-32.9999	-3.11803e-06	1.5	-2.00042	2.00042	-4.9	2.00042	2.00042	-4.9	2.00042	-2.00042	-4.9	0.00300701	-0.000109756	-4.06546e-06	4.38607e-06	-4.10685e-07	6.5332e-07	4.38607e-06	-4.10685e-07	6.5332e-07	8.19023e-06	-4.37377e-07	2.21979e-06	0.0699983	-0.00255308	-9.41482e-05	0.000101758	-9.52616e-06	1.51537e-05	0.000101758	-9.52616e-06	1.51537e-05	0.000190017	-1.01426e-05	5.14951e-05	
-32.9999	-4.37299e-06	1.5	-2.00042	2.00042	-4.9	2.00042	2.00042	-4.9	2.00042	-2.00042	-4.9	0.00376039	-0.00013723	-5.07778e-06	5.48059e-06	-5.13145e-07	8.16308e-07	5.48059e-06	-5.13145e-07	8.16308e-07	1.02341e-05	-5.46462e-07	2.77366e-06	0.0779603	-0.00284273	-0.000104658	0.000113194	-1.05959e-05	1.68552e-05	0.000113194	-1.05959e-05	1.68552e-05	0.00021137	-1.12805e-05	5.72799e-05	
-32.9998	-5.92715e-06	1.5	-2.00042	2.00042	-4.9	2.00042	2.00042	-4.9	2.00042	-2.00042	-4.9	0.00459663	-0.000167718	-6.1993e-06	6.69399e-06	-6.26725e-07	9.96982e-07	6.69399e-06	-6.26725e-07	9.96982e-07	1.24999e-05	-6.67375e-07	3.38767e-06	0.0858426	-0.00312932	-0.000115019	0.000124483	-1.16518e-05	1.85347e-05	0.000124483	-1.16518e-05	1.85347e-05	0.000232451	-1.24035e-05	6.29906e-05	
